,"Number and percentage of public school classroom teachers (in full-time equivalents), by certification status and years of experience, by state: School Year 2017-18",,,,,,,,,
,,,,,,,,,,
,State,Classroom Teachers (FTE),Meeting All State Licensing/Certification Requirements,,Classroom Teachers in their First Year of Teaching,,Classroom Teachers in their Second Year of Teaching,,Number of Schools,Percent of Schools Reporting 
,,,,,,,,,,
,,,FTE     ,Percent,FTE     ,Percent,FTE     ,Percent,,
,"50 states, District of Columbia, and Puerto Rico","3,324,084 ","3,218,334 ",96.8 ,"205,729 ",6.2 ,"182,458 ",5.5 ,"97,632 ",100.0 
,Alabama,"47,513 ","42,467 ",89.4 ,"2,331 ",4.9 ,"1,984 ",4.2 ,"1,390 ",100.0 
,Alaska,"7,312 ","7,259 ",99.3 ,427 ,5.8 ,388 ,5.3 ,506 ,100.0 
,Arizona,"60,875 ","54,916 ",90.2 ,"5,087 ",8.4 ,"4,162 ",6.8 ,"2,000 ",100.0 
,Arkansas,"34,876 ","34,091 ",97.7 ,"2,678 ",7.7 ,"1,918 ",5.5 ,"1,088 ",100.0 
,California,"288,759 ","281,637 ",97.5 ,"17,067 ",5.9 ,"16,694 ",5.8 ,"10,121 ",100.0 
,Colorado,"53,009 ","50,798 ",95.8 ,"2,462 ",4.6 ,"2,995 ",5.7 ,"1,908 ",100.0 
,Connecticut,"44,889 ","44,489 ",99.1 ,"1,834 ",4.1 ,"1,729 ",3.9 ,"1,214 ",100.0 
,Delaware,"9,622 ","9,338 ",97.1 ,586 ,6.1 ,642 ,6.7 ,231 ,100.0 
,District of Columbia,"7,143 ","5,013 ",70.2 ,566 ,7.9 ,677 ,9.5 ,228 ,100.0 
,Florida,"167,929 ","163,004 ",97.1 ,"19,193 ",11.4 ,"11,835 ",7.0 ,"3,976 ",100.0 
,Georgia,"115,344 ","110,124 ",95.5 ,"6,980 ",6.1 ,"2,840 ",2.5 ,"2,416 ",100.0 
,Hawaii,"12,143 ","11,425 ",94.1 ,959 ,7.9 ,817 ,6.7 ,292 ,100.0 
,Idaho,"16,776 ","16,300 ",97.2 ,"1,102 ",6.6 ,"1,121 ",6.7 ,725 ,100.0 
,Illinois,"137,761 ","135,843 ",98.6 ,"8,602 ",6.2 ,"6,903 ",5.0 ,"4,145 ",100.0 
,Indiana,"62,153 ","61,201 ",98.5 ,"3,699 ",6.0 ,"3,155 ",5.1 ,"1,886 ",100.0 
,Iowa,"35,803 ","35,743 ",99.8 ,"1,706 ",4.8 ,"1,723 ",4.8 ,"1,343 ",100.0 
,Kansas,"34,987 ","34,241 ",97.9 ,"2,298 ",6.6 ,"1,981 ",5.7 ,"1,350 ",100.0 
,Kentucky,"41,732 ","41,487 ",99.4 ,"2,703 ",6.5 ,"2,283 ",5.5 ,"1,401 ",100.0 
,Louisiana,"47,997 ","43,591 ",90.8 ,"3,660 ",7.6 ,"4,089 ",8.5 ,"1,365 ",100.0 
,Maine,"14,880 ","14,395 ",96.7 ,851 ,5.7 ,799 ,5.4 ,579 ,100.0 
,Maryland,"62,773 ","60,720 ",96.7 ,"4,988 ",7.9 ,"4,405 ",7.0 ,"1,414 ",100.0 
,Massachusetts,"76,974 ","73,378 ",95.3 ,"4,112 ",5.3 ,"4,116 ",5.3 ,"1,870 ",99.5 
,Michigan,"82,194 ","81,309 ",98.9 ,"4,075 ",5.0 ,"3,665 ",4.5 ,"3,559 ",100.0 
,Minnesota,"61,475 ","60,017 ",97.6 ,"3,640 ",5.9 ,"3,259 ",5.3 ,"2,232 ",100.0 
,Mississippi,"33,382 ","31,861 ",95.4 ,"2,167 ",6.5 ,"1,667 ",5.0 ,960 ,100.0 
,Missouri,"68,522 ","67,474 ",98.5 ,"3,904 ",5.7 ,"3,697 ",5.4 ,"2,381 ",100.0 
